start_time,speaker_label,transcript
00:01,Dave,He died. He's dead. He's gone.
00:03,Sabra,I know. I got to my.
00:07,Sabra,"So, I really don't know how to."
00:10,Dave,"Your honesty today is imperative about what happened. Your honesty today is the is the paramount of what we need to know, okay?"
00:19,Dave,You're not telling us.
00:21,Dave,and stuff that you're protecting. Right? Now listen to me.
00:23,Sabra,I'm not.
00:25,Dave,I spoke to your mother on the phone.
00:28,Sabra,So did I.
00:30,Dave,"You know he's violent against women, correct? He's been violent before against women, correct?"
00:34,Detective,He was violent against your own mama.
00:35,Dave,I'm talking about Isaac.
00:36,Sabra,"He, so yes, he did push my mom. He did what? He pushed my mom. Push your mom? Um, because he went to court for it. Um, she punched him first and then she he pushed her. So I will say that yes, but he has never laid a hand on me. He's never done anything like that."
00:39,Dave,He did what?
00:40,Dave,Push your mom?
00:50,Dave,"You told me earlier that he would never do that to a woman, correct?"
00:52,Sabra,I totally forgot about my mom. I'm so sorry. I
00:55,Dave,How your mom? How can you forget about your mom? You're trying to protect him.
00:57,Sabra,I'm not.
00:58,Dave,Okay?
00:59,Detective,"I'm going to tell you right now that my specialty is domestic violence, sexual assault, and crimes against children. And the living conditions that your children are in are a crime. A deplorable, sickening crime. I'm 35 years old and I could barely breathe in that house. There's dog feces everywhere. There the ammonia in that house is horrible."
01:22,Detective,"We've made a referral to have your children emergency. I'm going to tell you that. I know it's not. You know how I know you're full of shit? You went to your mom's, you went to Justin's, all before you went back to the house."
01:33,Detective,I talked to your mom.
01:35,Sabra,I did go to my mom's. I I totally forgot. I am so sorry. I
01:38,Detective,Are you forgetting because you were drunk or are you forgetting because you were high?
01:41,Dave,"She's forgetting because she doesn't want to tell us the truth. The only thing that I can say about you right now is either she's lying or she's scared, but she finally told us the truth."
01:53,Sabra,I was scared.
01:55,Dave,"Okay. You knew that he threw the knives at Justin's house, correct?"
01:59,Sabra,"Yes, and I apologize. I was so scared."
02:02,Dave,Who had the gun at the party?
02:04,Sabra,"I and I'm being honest to God, I didn't see a gun. I didn't know who had it. I know my brother has a gun registered in his name."
02:10,Dave,Did your brother have a gun?
02:11,Sabra,I don't know. I didn't see one.
02:13,Dave,What did you see about the stabbing?
02:15,Sabra,"Um, I didn't see and I'm being completely truthful on everything. I didn't see anyone get stabbed. I didn't see anyone fall to the floor. I didn't see anything. This is when I was I think this all this stabbing happened when I was on the ground."
02:30,Detective,"Well, is there anything else that you think that we should know about?"
02:35,Detective,Is there anything that you want the prosecutor to know? Because now's the time to make your case if if you feel that you have one.
02:42,Sabra,I apologize for lying to you about that.
02:45,Narrator,"Unfortunately, it doesn't seem like Sabra is going to crack anytime soon. However, her lying is just as bad as Isaac's, so convincing her shouldn't be much of a challenge. Additionally, her cathartic behavior only strengthened the case against Isaac, as she revealed that they did in fact hide the knives at Justin's home, giving detectives another lie to confront Isaac with. So, once and for all, using all the evidence they've collected for the last several days, detectives sit Isaac down for a final interrogation."
03:12,Detective,"We're going to read Miranda to you since we've had a break in between. Um, do you know what your Miranda rights are? Okay, I'm going to read them to you."
03:19,Narrator,"After reading Isaac his rights, he would recount everything that happened the night of the murder. We've heard his story multiple times now, so I'll fast forward through that portion of the interrogation."
03:29,Detective,"So, I'm going to tell you the only thing you have left in this world is your integrity. You know what integrity is? Yeah, your honesty. And I'm going to tell you that I have found about 40 little holes already in your story. And I know the truth. I'm not going to ask you a question I already don't have the answer to. Okay, that would make me a horrible detective. Been here since 3:30 this morning. The last thing I want is your bullshit. Okay? I am giving you honesty and I'm giving you the opportunity to come clean, okay? If I go to the prosecutor and say he gave me a line of crap, you know what they're going to do? They're going to throw the book at you come court time. If I go to the prosecutor and I say, hey, this is the guy who made mistakes because we all make mistakes. We do it every single day. I'm not a perfect person. Dave's not a perfect person. We've done and seen some fucked up things, okay? What you did last night is fucked up. You killed somebody."
03:34,[Unidentified Speaker],Yeah.
04:13,[Unidentified Speaker],He's dead.
04:14,Isaac,And I died.
04:15,Detective,"Yeah, he died at 8:31 this morning. The world lost a father. He leaves behind a nine and a half month old son named Jet. Okay? Somebody lost their son this morning. A mother and father lost their son. A girlfriend lost her boyfriend that she held compression on for several minutes waiting for a medic to get there to try and save his life. He died at Grant this morning and you're facing murder charges."
04:37,Isaac,I didn't know that.
04:38,Detective,He did because you didn't stab him twice. You stabbed him multiple times. Way more than twice. And I've interviewed probably 15 or 16 people today that have painted a pretty gruesome picture involving you. This is your chance to be honest about it.
04:52,Isaac,I was just trying to give you the stop.
04:54,Detective,"You get one shot at this and one shot only. I've talked to your mom. I know you were a very violent, explosive person. I know you drink almost every weekend. You left her in the care and custody of your two children, Drake Owen Waylen, who are 13 months and four months old. I've been inside your bedroom. I've been inside your car. I've had a very deep conversation with your girlfriend, your girlfriend's mother, and everyone that was at that cabin. You get one shot at this with me and that's it. You want to start over?"
05:18,Narrator,"With this brilliant confrontation, the detective successfully convinced Isaac to start again with his story. Just like in Sabra's interview, he already gave his version of events before this, so any mistakes he makes now will seal his fate."
05:31,Detective,Start at the very beginning. How did you end up there?
05:34,Isaac,"I ended up because everyone began and I told her that I would go with her. And so we end up going. But we've never got along, me and her brother. And of course, her brother's friends aren't going to like me if they don't like me. But he said that he was going to be calm, collected. I said I'll do the same. And I was until everything blew up. And once everything blows up, and then I just blow up and I end up blacking out."
06:02,Detective,How much cocaine did you do last night?
06:04,Isaac,I didn't do any.
06:05,Detective,I know there was cocaine there. I've been
